trial,score,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
92,-0.5553095453520746,1000.0,944.1035672320875,-5.589643276791256,101.87414488034335,10.065815226077806,94,14,32,280,27.0,11,1.7000000000000002,3.4000000000000004,0.0015,28,14,2.6,18,32,65,20.0,10,1.2,0.005
57,-0.5668289284826037,1000.0,950.782179487752,-4.921782051224799,87.43924782881322,8.683011405928713,272,0,10,300,22.0,17,1.7000000000000002,3.2,0.0018,14,14,2.0,17,29,71,11.0,16,1.9,0.0024000000000000002
69,-0.5689798385072176,1000.0,965.8036535843117,-3.419634641568825,60.62859476104643,6.010115666911187,329,20,16,260,19.0,20,1.2,3.3,0.003,18,30,2.0,16,41,65,17.0,13,1.9,0.0054
24,-0.5772491258541053,1000.0,955.5765546249786,-4.442344537502141,78.35611484292792,7.695714620492825,368,46,10,290,22.0,20,1.1,2.2,0.0016,12,16,2.4000000000000004,12,32,62,19.0,13,2.3,0.004
234,-0.5802239290784555,1000.0,954.8677184600527,-4.5132281539947305,78.7396058647771,7.778424721577572,120,22,14,280,32.0,10,1.5,2.8,0.0012000000000000001,22,40,2.5,16,33,66,20.0,12,2.4000000000000004,0.005
224,-0.583078777061245,1000.0,976.8226173687272,-2.317738263127289,39.75000213193903,3.975000213193903,146,3,26,230,25.0,17,1.5,3.6,0.0008,12,36,2.3000000000000003,20,38,69,15.0,11,2.4000000000000004,0.0054
91,-0.5850625957612975,1000.0,963.1333743590382,-3.686662564096188,64.2648888204634,6.301313040357698,214,0,24,300,23.0,10,1.2,2.6,0.0009000000000000001,14,36,2.2,18,29,69,11.0,17,1.9,0.0068000000000000005
75,-0.5888915314798402,1000.0,989.2472144365508,-1.0752785563449163,18.320351630599134,1.8259365245800394,71,4,34,220,28.0,17,1.8,1.9000000000000001,0.0027,12,20,2.6,20,42,62,13.0,11,1.8,0.0026
146,-0.5931493896009462,1000.0,971.548141821756,-2.8451858178244027,47.967440710654046,4.796744071065405,127,16,30,190,25.0,11,1.4,3.2,0.0015,14,16,1.6,14,34,71,19.0,16,1.5,0.008
263,-0.5989942368957365,1000.0,953.179853441746,-4.682014655825406,78.62538274765598,7.8164602719548,324,2,10,300,24.0,19,1.0,2.3,0.0027,20,38,2.5,13,38,67,11.0,17,1.4,0.004
65,-0.599989278176443,1000.0,973.4110396066048,-2.65889603933952,44.77389320111661,4.43157258979818,262,2,14,270,23.0,16,1.5,2.8,0.0029000000000000002,12,40,1.8,15,34,69,17.0,14,2.2,0.008
132,-0.6001789234534677,1000.0,936.9981011411085,-6.300189885889152,107.5451569251253,10.497186155150965,193,16,30,150,19.0,15,2.0,2.7,0.0017000000000000001,24,32,2.2,12,39,65,15.0,17,1.2,0.0066
55,-0.600439920468212,1000.0,947.6977574131946,-5.230224258680538,88.056898555992,8.710653772990485,230,16,20,180,21.0,17,1.4,3.6,0.0032,26,32,2.0,11,41,61,14.0,13,1.7,0.003
227,-0.6037993381098624,1000.0,963.9274595124411,-3.6072540487558813,60.00353110450135,5.974259693705617,267,38,18,320,22.0,12,1.4,2.0,0.0028,20,22,1.7000000000000002,15,38,72,20.0,12,1.2,0.0044
11,-0.6090787152226185,1000.0,961.6619114403928,-3.8338088559607186,63.976623874670054,6.294439060408571,171,6,22,160,23.0,12,1.8,3.4000000000000004,0.0008,28,24,2.3000000000000003,10,29,72,15.0,14,1.5,0.0022
141,-0.6167741644197683,1000.0,951.3918924445193,-4.860810755548073,79.1473323624117,7.8810219946889175,221,2,12,150,26.0,12,1.4,2.3,0.0013,20,36,1.9000000000000001,15,36,72,14.0,11,1.6,0.0032
214,-0.6173162060481482,1000.0,958.8463762564294,-4.115362374357057,67.81239714402352,6.6665386944921305,106,78,28,310,27.0,11,2.0,2.2,0.0018,12,20,2.0,11,30,63,21.0,12,2.0,0.0044
