strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
trend,BTC/USDT:USDT,long,1764853200000,1764856800000,92970.1291716441,91902.9544614949,0.002842298653873306,-3.189958628356459,sl
trend,BTC/USDT:USDT,short,1765108800000,1765112400000,89720.7441458314,88637.47414781303,0.002927165521126764,3.0152366533472788,tp
trend,BTC/USDT:USDT,short,1765706400000,1765710000000,90550.21315769512,89680.19997883879,0.002916711238584903,2.3806344681931435,tp
trend,BTC/USDT:USDT,short,1765803600000,1765807200000,89422.37364477298,88393.29636477162,0.0029665140826920238,2.8954402682134117,tp
trend,BTC/USDT:USDT,short,1765890000000,1765893600000,86718.02447113203,87562.69687063621,0.0030754151194343957,-2.759293253516738,sl
bbrsi,SOL/USDT:USDT,short,1766048400000,1766052000000,130.8015078216965,123.80725,2.317727135497649,16.03861029227487,tp
trend,BTC/USDT:USDT,short,1766080800000,1766084400000,87340.05694721242,85477.48722130893,0.0030374105174584658,5.501610743743847,tp
trend,BTC/USDT:USDT,short,1766300400000,1766304000000,87443.78969135579,88561.50267789423,0.0030649619043728814,-3.588610302904197,sl
trend,BTC/USDT:USDT,long,1766426400000,1766430000000,89292.1811869405,88498.98126386681,0.0029811207913136035,-2.5229204741768245,sl
trend,BTC/USDT:USDT,short,1766581200000,1766584800000,87881.71396568525,86518.43140210549,0.0030143096506594397,3.952879782333053,tp
bbrsi,SOL/USDT:USDT,long,1766584800000,1766588400000,121.88334202337755,122.5314,2.565969931258102,1.4742501489042068,tp
bbrsi,SOL/USDT:USDT,short,1766934000000,1766937600000,123.95616870927574,124.19485000000002,2.529894350794172,-0.7923583586912369,tp
trend,BTC/USDT:USDT,short,1766959200000,1766962800000,87736.24059687722,87992.27862022168,0.0030415327386852926,-0.9393268680553957,sl
trend,BTC/USDT:USDT,long,1767481200000,1767484800000,89796.78913533349,90883.7038764912,0.0029662118435471205,3.0622711868536383,tp
trend,BTC/USDT:USDT,long,1767567600000,1767571200000,91104.1952593401,91856.83314335301,0.0029401587780530937,2.050830676801535,tp
trend,BTC/USDT:USDT,long,1767711600000,1767715200000,93486.33461659234,92854.1326486025,0.002875922237943356,-1.97838845759496,sl
trend,BTC/USDT:USDT,long,1767772800000,1767776400000,93022.78300108835,92176.24844828797,0.002879330631216158,-2.596696405637659,sl
trend,BTC/USDT:USDT,long,1767834000000,1767837600000,91644.6609261868,90872.74908658936,0.002908169589639273,-2.4034145570520966,sl
trend,BTC/USDT:USDT,short,1767916800000,1767920400000,90623.64565343004,91471.6603771852,0.0029273800998114684,-2.6431248176388986,sl
trend,BTC/USDT:USDT,short,1767967200000,1767970800000,90923.82608369419,91677.99322763726,0.0029028888997781163,-2.3489420480663523,sl
trend,BTC/USDT:USDT,long,1768230000000,1768233600000,90983.36881117376,92100.52728862807,0.0028877904137449874,3.066539329943542,tp
trend,BTC/USDT:USDT,long,1768500000000,1768503600000,96196.7847058726,95263.88752802377,0.0027469514354978844,-2.719634405421508,sl
trend,BTC/USDT:USDT,long,1768572000000,1768575600000,95768.44037490805,95071.99102538051,0.002744762813477482,-2.0681583153956056,sl
trend,BTC/USDT:USDT,long,1768773600000,1768777200000,95303.1783118431,94649.07014388342,0.002747036281057242,-1.9528615269132805,sl
trend,BTC/USDT:USDT,short,1768993200000,1768996800000,89863.06205225283,88443.89336402909,0.0029021788449490487,3.9646733466054243,tp
trend,BTC/USDT:USDT,short,1769011200000,1769014800000,89486.32004291436,87954.9681489733,0.0029362581264926733,4.341489349108679,tp
trend,BTC/USDT:USDT,short,1769184000000,1769187600000,89422.61004318611,90633.23127189143,0.002962331377814969,-3.7473526513643733,sl
trend,BTC/USDT:USDT,short,1769432400000,1769436000000,87625.05098789056,88406.27728458082,0.003001416083482151,-2.50399158523899,sl
trend,BTC/USDT:USDT,short,1769450400000,1769454000000,87785.52754862525,88476.72880511804,0.0029813677600749613,-2.2189941418967822,sl
trend,BTC/USDT:USDT,short,1769472000000,1769475600000,87817.49835212779,88666.6541724091,0.002967350213332716,-2.67760571356884,sl
trend,BTC/USDT:USDT,short,1769540400000,1769544000000,88206.84937305494,88865.73905746744,0.00293877871081388,-2.0930250225640195,sl
trend,BTC/USDT:USDT,short,1769616000000,1769619600000,89276.19076916348,89989.21769254158,0.002891565761363955,-2.2178900830338026,sl
trend,BTC/USDT:USDT,short,1769864400000,1769868000000,83831.35531209265,82325.22609149403,0.0030658363536783424,4.4661083152628365,tp
trend,BTC/USDT:USDT,short,1770134400000,1770138000000,77881.51816181101,75649.59876809704,0.0033283964623202463,7.2776375000721005,tp
trend,BTC/USDT:USDT,short,1770213600000,1770217200000,76549.08388377515,74070.78883220594,0.0034335285660903035,8.356702353142179,tp
trend,BTC/USDT:USDT,short,1770386400000,1770390000000,66364.01632440061,68781.52881150032,0.004023046657511727,-9.89179231046954,sl
trend,BTC/USDT:USDT,short,1770544800000,1770548400000,69475.61497462052,71172.39315636228,0.003771293560193846,-6.560095822664612,sl
trend,BTC/USDT:USDT,short,1770627600000,1770631200000,70648.9955640596,68908.2943690693,0.003661859423103185,6.222803581442981,tp
trend,BTC/USDT:USDT,long,1771135200000,1771138800000,69568.40038020116,70596.54136383532,0.0037630909986431037,3.7095913552448336,tp
trend,BTC/USDT:USDT,short,1771239600000,1771243200000,68810.50571769336,69433.23918297823,0.0038311132139876927,-2.545366367719521,sl
trend,BTC/USDT:USDT,short,1771250400000,1771254000000,68889.51775376944,67712.86140023082,0.0038078622263870584,4.3258405337781465,tp
bbrsi,SOL/USDT:USDT,long,1771434000000,1771437600000,83.21936735135131,81.55029725360868,3.7621406457624538,-6.463358668127359,sl
bbrsi,SOL/USDT:USDT,short,1771678800000,1771682400000,85.25385618241589,86.48164726654429,3.626432786911468,-4.640673771628905,sl
trend,BTC/USDT:USDT,short,1771858800000,1771862400000,66317.03087573693,65141.64562576206,0.003987791326662056,4.531328331677777,tp
trend,BTC/USDT:USDT,short,1771956000000,1771959600000,63774.03360785579,64602.87346179228,0.004181916742070029,-3.6282375645413194,sl
trend,BTC/USDT:USDT,short,1771977600000,1771981200000,63995.410308211794,64788.109306894716,0.004138686024923989,-3.4416148533620614,sl
trend,BTC/USDT:USDT,long,1772114400000,1772118000000,67921.90365480709,67096.19436913692,0.0038737079355334043,-3.3545032486872226,sl
