side,mode,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
long,mr,1738126800000,1738130400000,229.63119001380522,232.1136,2.4128326465283125,5.653609093688704,tp
short,mr,1738260000000,1738263600000,240.00366660971878,239.07975000000002,2.0617279841242317,1.609114282646897,tp
long,mr,1738396800000,1738400400000,232.34592001839763,227.96948529738174,2.3540616774165564,-10.624389797834107,sl
long,mr,1738807200000,1738810800000,198.29824454875504,200.978,1.7504166646926074,4.4796114548981025,tp
long,mr,1738893600000,1738897200000,191.6141808881141,194.7471,1.8101328639467036,5.459488968990367,tp
short,mr,1738944000000,1738947600000,201.91494286488853,194.8682,2.0537719093922675,14.23227364750215,tp
short,mr,1739066400000,1739070000000,201.55099004687924,204.7360080259001,2.0797694967807523,-6.8795854620968395,sl
long,mr,1739376000000,1739379600000,192.862617733639,195.53115,3.3243967986295413,8.481246245874678,tp
short,mr,1739548800000,1739552400000,200.18980597610073,202.8794775995733,3.5133003701933676,-9.877290236697933,sl
long,mr,1740319200000,1740322800000,169.1356824522038,167.1624255071916,3.235381180419325,-6.708738883359718,sl
long,mr,1740351600000,1740355200000,167.68788850546036,169.24515000000002,3.232790291006884,4.706019393474679,tp
long,mr,1741327200000,1741330800000,138.78579731082337,143.9355,1.9242763460197978,9.743268067015595,tp
short,mr,1741784400000,1741788000000,129.21323281591984,125.1063,3.115347567434701,12.560673393268146,tp
short,mr,1742018400000,1742022000000,128.08555670913773,132.70605,4.200999008913484,-19.745186526319895,tp
long,mr,1742274000000,1742277600000,125.62511823807357,123.36084101924848,5.398044156849474,-12.62221277079493,sl
short,mr,1742385600000,1742389200000,127.96389284350708,129.78179026298002,6.318108740242196,-11.977658852866618,sl
short,mr,1742781600000,1742785200000,134.18458984033674,135.865570634739,6.729322375776718,-11.860431607763964,sl
short,mr,1743512400000,1743516000000,128.73004201041658,126.32204999999999,5.389381595151365,12.56910918341164,tp
short,mr,1743620400000,1743624000000,129.86048476579026,132.2081970803581,6.542174327743434,-15.87810067700668,sl
long,mr,1743678000000,1743681600000,118.77965884032253,114.99034257480811,5.747544394379358,-22.175810719712057,sl
short,mr,1743829200000,1743832800000,121.71706108821687,120.28135,4.7020257543504025,6.41141090932131,tp
long,mr,1743951600000,1743955200000,115.77819907178377,113.93756120216634,5.014837438499818,-9.57332670781887,sl
long,mr,1744027200000,1744030800000,114.28433532504077,103.80974999999998,5.031165438107569,-53.01274208165712,tp
short,mr,1744264800000,1744268400000,119.58527904891343,114.12575,2.931674884482631,15.804816436834226,tp
long,mr,1744326000000,1744329600000,109.57499355024459,113.06800000000001,2.854259538303888,9.776311726085263,tp
short,mr,1745053200000,1745056800000,137.8404119898739,139.74009061182775,3.5596184498538483,-7.060583914335537,sl
long,mr,1745280000000,1745283600000,135.23796223418347,137.99615,5.109881215094199,13.67092549146433,tp
short,mr,1745330400000,1745334000000,142.6261283687036,144.91503205204785,4.032991180154614,-9.581792994833386,sl
short,mr,1745352000000,1745355600000,144.4715308152337,146.8323947054642,4.796229934692553,-11.745791218179555,sl
short,mr,1745578800000,1745582400000,154.25124248437996,156.81516547764312,5.463039831334249,-14.52082593376737,sl
long,mr,1745708400000,1745712000000,148.4621073114228,149.35545,4.489837876410512,3.6086147859132125,tp
long,mr,1745737200000,1745740800000,146.7901953291632,148.1301,4.447269192760614,5.563652105698231,tp
long,mr,1745805600000,1745809200000,145.99481537422068,148.21859999999998,4.676428736966341,9.983490096582518,tp
long,mr,1746032400000,1746036000000,143.10387483942054,145.6847,4.940946135364845,12.319825949949323,tp
long,mr,1746363600000,1746367200000,145.6672878590208,146.11955,6.514902676744354,2.3752710444037204,tp
long,mr,1746406800000,1746410400000,144.16545452359463,142.6706591387557,5.438923023033004,-8.59566187294462,sl
long,mr,1746550800000,1746554400000,142.7256061349059,144.20819999999998,6.604076545842725,9.219746176675265,tp
short,mr,1746687600000,1746691200000,150.5714751430315,152.67798550654112,6.319935824988435,-13.89195935422773,sl
short,mr,1747058400000,1747062000000,178.20034690806048,174.74259999999998,4.025751992920818,13.497949284021455,tp
long,mr,1747119600000,1747123200000,167.5184007239197,172.41645,3.355454949409773,16.088062307569256,tp
short,mr,1747159200000,1747162800000,178.17169499694998,181.6683573449961,3.1608506198173356,-11.396963274062625,sl
short,mr,1747173600000,1747177200000,180.7217586562052,184.497425680796,3.0536304111784753,-11.867523818680036,sl
long,mr,1747310400000,1747314000000,171.53761354896224,168.213617339401,3.6570838197837494,-12.52523553395247,sl
long,mr,1747666800000,1747670400000,160.185104009264,164.52624999999998,3.8732953508235832,16.432185327636052,tp
short,mr,1747724400000,1747728000000,170.28484449362423,166.4842,3.861578208733365,14.290750900430803,tp
short,mr,1747839600000,1747843200000,171.61868352327602,174.62507558660133,3.2898750320750554,-10.235350991450487,sl
short,mr,1747846800000,1747850400000,172.80685154088965,169.4214,3.234409248719192,10.621148889089543,tp
short,mr,1747900800000,1747904400000,176.50523980445266,180.53352666747733,3.6092231590843165,-14.929937708727424,sl
long,mr,1748181600000,1748185200000,172.40226441110735,169.59330545575517,3.4275108723684427,-9.976507098504607,sl
long,mr,1748541600000,1748545200000,169.02504016913548,166.69547586162906,4.556864258624223,-11.071273524659606,sl
long,mr,1749114000000,1749117600000,153.56497973241866,151.44688454514255,5.0238385901974505,-11.097475161315062,sl
short,mr,1749312000000,1749315600000,151.9693160848729,150.35545,5.063770633707687,7.715428379919498,tp
long,mr,1749384000000,1749387600000,148.5772551538754,149.85735,4.468027128210033,5.317758476069552,tp
long,mr,1750352400000,1750356000000,143.43046080839827,145.29344999999998,3.8717448276370523,6.87549526841144,tp
long,mr,1750964400000,1750968000000,142.08597480062758,143.73965,3.679653706332352,5.767604794919001,tp
long,mr,1750996800000,1751000400000,139.0565364443584,141.54065,4.514355592667346,10.830793027781121,tp
short,mr,1751119200000,1751122800000,145.95865419961217,147.8484725161883,3.662833588297769,-7.247016616401919,sl
short,mr,1751986800000,1751990400000,151.62735380024336,149.60605,5.833480511800616,11.267601940874599,tp
long,mr,1752328800000,1752332400000,160.13624496681956,157.82935029675858,5.953224253862768,-14.297217410608638,sl
long,mr,1752361200000,1752364800000,158.84804207653517,160.93685,5.910296925161557,11.774764305487155,tp
short,mr,1752501600000,1752505200000,166.32851092688543,165.02355,5.497425476524882,6.629602644531531,tp
short,mr,1752678000000,1752681600000,166.86580889735518,169.391394212048,4.967591716961559,-13.050957061835204,sl
short,mr,1752811200000,1752814800000,179.46855455954224,183.12118870650707,4.379620560059217,-16.478352402246426,sl
long,mr,1753837200000,1753840800000,180.82020038637046,182.1039,3.66939723942451,4.3094768897335225,tp
short,mr,1754280000000,1754283600000,163.27591162149122,162.09695,4.873913060841744,5.272128580180679,tp
short,mr,1754319600000,1754323200000,164.84027379669305,166.992383759181,4.097941801284577,-9.22981641818206,sl
short,mr,1754535600000,1754539200000,167.2717533559333,166.7267,4.422142773491458,1.9679301961758866,tp
short,mr,1754632800000,1754636400000,174.97027190045333,177.36778328210227,4.2914213922151445,-10.745427570967504,sl
long,mr,1755496800000,1755500400000,183.24928486638174,180.19241102870149,3.3753529478093633,-10.682955910538539,sl
long,mr,1755590400000,1755594000000,179.20922186392357,182.0916,3.320452793770789,9.208024597473493,tp
short,mr,1755759600000,1755763200000,186.690631640445,185.7232,2.840975746196819,2.431868762584009,tp
long,mr,1755867600000,1755871200000,178.75031998577523,181.59425000000002,4.09518044356746,11.200209844369274,tp
long,mr,1756144800000,1756148400000,196.60604147462072,191.25030130471646,2.8535291442388058,-15.610203648962791,sl
long,mr,1756591200000,1756594800000,199.4666085186022,202.14755,2.391464856471686,6.12132007803189,tp
long,mr,1756706400000,1756710000000,197.45907465372977,202.1278,3.1830021341022503,14.474538809458593,tp
long,mr,1756771200000,1756774800000,195.4858634789335,198.9701,3.4564653557791525,11.630502871915262,tp
short,mr,1756911600000,1756915200000,209.50664636728723,209.60320000000002,2.5189221669085655,-0.5599955737767603,tp
long,mr,1757026800000,1757030400000,204.18479585571833,201.57805161961724,2.8309735685405673,-7.722021314027493,sl
short,mr,1757095200000,1757098800000,209.2596411199505,204.71745,3.5973469654572563,15.897973623360544,tp
short,mr,1757502000000,1757505600000,221.16128348788948,224.162045999292,4.145326840297245,-12.996676347388693,sl
short,mr,1758207600000,1758211200000,244.59831824386058,248.9082408757349,3.7320799113264966,-16.64234294111112,sl
long,mr,1758769200000,1758772800000,208.48909601762122,205.15116936681778,4.148209148884201,-14.357023845770259,sl
long,mr,1759064400000,1759068000000,199.09783285051313,201.6289,2.8804510819231828,6.942145799268459,tp
short,mr,1759093200000,1759096800000,205.39647110230806,207.74990775289064,2.765265005464377,-6.852566142311815,sl
short,mr,1759136400000,1759140000000,209.983440112071,207.50484999999998,3.225257710951104,7.592537900730905,tp
short,mr,1759158000000,1759161600000,211.8946647590909,208.69729999999998,3.353328259769022,10.301915271152598,tp
short,mr,1759190400000,1759194000000,213.55454760875477,209.99304999999998,3.3610362179118867,11.546845905095564,tp
long,mr,1760050800000,1760054400000,217.39059997658012,221.69605,3.8459704822615715,16.04705182432491,tp
short,mr,1760378400000,1760382000000,202.29796927121745,208.40630963744877,2.4515571257936832,-15.281497335678813,sl
long,mr,1760601600000,1760605200000,195.42783477680328,190.36672239295302,1.9812704812997617,-10.253733349282552,sl
short,mr,1760911200000,1760914800000,189.94920899969742,188.59705,2.2821900083197124,2.8276351769038914,tp
long,mr,1761044400000,1761048000000,184.28341512360785,186.93545,3.285935611460988,8.345861131853816,tp
short,mr,1761058800000,1761062400000,192.25128534532735,195.68733278061592,3.0837181151400466,-10.95786846447928,sl
short,mr,1761472800000,1761476400000,195.49572586722675,197.22561756950037,3.3327826830262026,-6.159739182579105,sl
long,mr,1762524000000,1762527600000,152.87489395256353,155.72845,3.591975845994038,9.914280699021615,tp
short,mr,1762581600000,1762585200000,162.86168783244457,159.85305,3.3310641740639095,9.70247723560752,tp
short,mr,1762711200000,1762714800000,162.21272982398528,164.81987094385448,3.317269771876739,-8.976641613370964,sl
long,mr,1763308800000,1763312400000,137.53893872451087,135.0065235661439,4.462786980972066,-11.66313261260681,sl
short,mr,1763643600000,1763647200000,143.51841039285475,139.7628,3.895718284399617,14.304114179262141,tp
long,mr,1763704800000,1763708400000,133.14312227811746,129.70255576994938,4.170658062645936,-14.673993453341392,sl
short,mr,1764144000000,1764147600000,139.78574790836865,137.68115,3.160161877693163,6.389813244995192,tp
short,mr,1764230400000,1764234000000,143.35810250634316,141.74135,3.712969373721743,5.687183766015988,tp
long,mr,1765461600000,1765465200000,131.05099597075932,132.7493,4.082766841532357,6.608588713258703,tp
long,mr,1765720800000,1765724400000,131.6227019586038,130.30540463982786,4.750527500371895,-6.629268783924499,sl
long,mr,1765864800000,1765868400000,125.25747444776519,127.3028,5.494966383634054,10.819280389192569,tp
short,mr,1766048400000,1766052000000,130.86397426709814,123.80725,4.848115560510906,33.85167561241601,tp
long,mr,1766109600000,1766113200000,118.24193927279774,122.06765,5.6678650472762255,21.268494331596532,tp
long,mr,1766329200000,1766332800000,124.27022287728506,125.39825,5.501504043315305,5.791918388945773,tp
short,mr,1766422800000,1766426400000,127.535801633542,126.43969999999999,5.428226022886518,5.538081449001558,tp
long,mr,1766502000000,1766505600000,122.87385200805753,124.75815,5.049553180598659,9.13687917052593,tp
long,mr,1766584800000,1766588400000,121.84005932417706,122.53139999999999,5.086411686432609,3.142496205862993,tp
short,mr,1766872800000,1766876400000,123.97721292656264,124.92095241768878,7.709649581131203,-7.8537588335465305,sl
short,mr,1766934000000,1766937600000,124.29479046242206,124.19485,7.579561455023919,0.19269937798798475,tp
short,mr,1767117600000,1767121200000,125.5138072171007,124.16069999999999,8.056394022581674,10.300992382970582,tp
short,mr,1767319200000,1767322800000,126.54823808119845,127.57474084178668,8.070341052127072,-8.90197036983492,sl
short,mr,1767340800000,1767344400000,127.17921033505718,128.32345250525117,7.958700249328641,-9.719453181284212,sl
short,mr,1767481200000,1767484800000,133.23407755746325,134.53922150467488,7.5225448470334815,-10.425250271206139,sl
short,mr,1767535200000,1767538800000,133.8631615514766,135.22731398555192,7.40781563762711,-10.706433139956145,sl
short,mr,1767672000000,1767675600000,137.76308862318453,139.83027218778915,7.118952336075442,-15.313448292046008,sl
short,mr,1768143600000,1768147200000,137.92933957735923,138.9051798012752,5.393859250016724,-5.71308581167541,sl
short,mr,1768168800000,1768172400000,139.02905947530874,137.6528,6.364307297415163,8.233299390114327,tp
long,mr,1768741200000,1768744800000,142.812039484899,141.77671506662628,6.327002424094484,-7.0887130760797445,sl
