side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct,reason,fees
short,1766872800000,1766876400000,123.8719918383474,124.9784450348401,3.129821780644641,-3.697697469275449,-0.009537589942489896,sl,0.23469615562868498
short,1766934000000,1766937600000,124.31687905013598,124.19485,3.1064740866233715,0.1475952321324352,0.00038218575384938,tp,0.23148484993024598
short,1766966400000,1766970000000,124.98641647736476,126.19494938706526,3.090058242360062,-3.9684069248820726,-0.010275115612786032,sl,0.23396984609862712
short,1767106800000,1767110400000,124.92822641623111,126.41340254322789,3.078544036502018,-4.80568164484112,-0.012495368046943631,sl,0.2335015359200299
short,1767117600000,1767121200000,125.33481853231514,124.16070000000002,3.0529745084695232,3.357118277847472,0.008773476717737488,tp,0.22743567123223918
short,1767186000000,1767189600000,125.44422516756529,127.01857947234738,3.060772556732614,-5.052005439997349,-0.013157763542010122,sl,0.23326498934647283
short,1767304800000,1767308400000,125.50658413314694,126.60813147760967,3.042905882236221,-3.5830588708346243,-0.009382075302918782,sl,0.23115397680729322
short,1767319200000,1767322800000,126.38288587641628,127.58637187158868,3.010225194287457,-3.8532020902734225,-0.01012825280431593,sl,0.23043822663335084
short,1767639600000,1767643200000,137.15741689366402,139.54121099645394,2.7622948846710296,-6.816014640247347,-0.017990414847932148,sl,0.2312723840017833
short,1767690000000,1767693600000,138.4324359544142,137.57575000000003,2.716939228096286,2.1032927045010794,0.005592190147322737,tp,0.2242709712058606
long,1767830400000,1767834000000,136.52512991759107,137.05755,2.7608378325187304,1.2428893047438871,0.003297455586972587,tp,0.22703620156339646
long,1767880800000,1767884400000,134.4122968194886,135.73895,2.8077099679000366,3.4961879970997334,0.009264106335327805,tp,0.22866936176837074
short,1767942000000,1767945600000,139.33498464525485,138.08625,2.718334024236089,3.1692591424461183,0.00836748142057191,tp,0.2252187309925024
long,1768035600000,1768039200000,135.9050078499872,136.5405,2.7960443730055045,1.5478002721051083,0.004073196851022992,tp,0.22906397802741485
long,1768086000000,1768089600000,135.57130042717782,136.1368,2.807269323649382,1.358206005844651,0.0035687309282841848,tp,0.2293035974758747
long,1768741200000,1768744800000,142.8112171461773,141.6163334198804,2.668543802525676,-3.415345195878856,-0.008961855741617482,sl,0.22674563333041892
long,1769108400000,1769112000000,128.01404574041683,129.38860000000003,2.9660914185862084,3.8467865440570956,0.01013108438282664,tp,0.23026704967373013
long,1769173200000,1769176800000,127.16558344776536,125.42447709782543,2.997742712314604,-5.44498305919662,-0.014283432568409606,sl,0.22559418729952566
long,1769331600000,1769335200000,126.73752389240472,126.94770000000001,2.990441973284637,0.4007416156393694,0.0010573623618294384,tp,0.22777783829516765
short,1770501600000,1770505200000,88.50432570523886,86.79925,4.2837588396534425,7.0810368919175986,0.01867700976271049,tp,0.22309623267767342
long,1770649200000,1770652800000,83.80323485059904,85.72565,4.557500346257985,8.526990901311565,0.02232586561528881,tp,0.2344168077349145
long,1770753600000,1770757200000,83.80489912249838,81.96411385936985,4.59774449444423,-8.689570340946661,-0.022551948051170407,sl,0.2261100319433506
long,1770948000000,1770951600000,78.0892844542968,79.4331,4.889363028469266,6.337375688817427,0.016598380875954794,tp,0.2330263574260212
short,1770987600000,1770991200000,80.15812432695316,81.77654333999504,4.794414406325305,-7.994613814092058,-0.02080244458121873,sl,0.23524238249325471
long,1771351200000,1771354800000,83.90902566582376,85.4582,4.541617217055269,6.802885768839826,0.017851469520594597,tp,0.23287105947513156
long,1771434000000,1771437600000,82.79088329544773,81.17608159737102,4.635454147217983,-7.711112030741561,-0.020092880771651278,sl,0.22577280245726333
short,1771678800000,1771682400000,85.19031056417327,86.34989103251677,4.468327373418994,-5.412888897456648,-0.014219814377252097,sl,0.23150374907540516
short,1771711200000,1771714800000,86.04681360152719,85.34225,4.3983335650505655,2.873687527694763,0.007593055735367612,tp,0.22521820961516198
